cluster_id	ContamPct
0	0.0
1	0.0
2	17.2
3	100.1
4	132.8
5	0.0
6	200.6
7	113.6
8	99.6
9	9.9
10	22.4
11	59.9
12	41.9
13	55.2
14	15.1
15	65.9
16	0.0
17	70.7
18	81.7
19	55.5
20	80.5
21	80.4
22	105.8
23	65.8
24	18.1
25	95.4
26	98.5
27	72.4
28	76.5
29	70.2
30	81.1
31	4.6
32	99.2
33	129.7
34	0.0
35	95.8
36	46.5
37	48.7
38	0.0
39	0.0
40	142.3
41	0.0
42	14.2
43	0.0
44	81.3
45	0.0
46	5.4
47	13.7
48	75.5
49	25.2
50	33.5
51	0.0
52	4.7
53	98.2
54	57.7
55	0.0
56	75.9
57	92.7
58	16.6
59	85.2
60	72.2
61	10.1
62	95.0
63	29.6
64	0.0
65	180.4
66	6.9
67	146.2
68	120.3
69	214.3
70	0.0
71	90.9
72	91.6
73	123.9
74	110.9
75	42.3
76	81.7
77	46.9
78	30.3
79	72.7
80	73.4
81	127.9
82	88.9
83	43.5
84	0.0
85	45.5
86	20.8
87	13.5
88	90.1
89	0.0
90	66.7
91	0.0
92	85.8
93	92.4
94	86.0
95	15.3
96	59.2
97	119.4
98	0.0
99	56.6
100	0.0
101	0.0
102	65.7
103	39.3
104	132.3
105	117.6
106	136.9
107	147.8
108	129.2
109	41.7
110	94.3
111	0.0
112	0.0
113	74.6
114	0.0
115	82.7
116	0.0
117	0.0
118	89.1
119	0.0
120	30.7
121	0.0
122	0.0
123	0.0
124	110.5
125	113.4
126	0.0
127	76.7
128	93.5
129	110.4
130	98.0
131	110.1
132	133.8
133	156.8
134	121.4
135	169.6
136	148.1
