cluster_id	Amplitude
0	9.6
1	9.6
2	9.4
3	11.6
4	11.2
5	13.2
6	10.0
7	9.7
8	10.5
9	15.0
10	12.0
11	11.6
12	13.8
13	20.4
14	12.2
15	12.8
16	12.1
17	10.2
18	31.0
19	10.8
20	12.3
21	11.0
22	11.9
23	13.1
24	32.0
25	29.0
26	11.9
27	16.3
28	30.5
29	10.5
30	19.6
31	23.9
32	12.7
33	13.7
34	15.7
35	17.5
36	10.9
37	26.2
38	12.9
39	14.0
40	12.9
41	12.1
42	20.2
43	12.7
44	11.1
45	12.4
46	12.7
47	13.2
48	11.4
49	10.0
50	10.0
51	11.2
52	10.0
53	13.6
54	9.1
55	5.7
56	9.1
57	8.9
58	8.9
59	9.4
60	9.1
61	8.3
62	8.9
63	9.2
64	9.0
65	8.9
66	8.4
67	8.6
68	8.4
69	8.9
70	8.0
71	8.9
72	8.9
73	8.8
74	8.9
75	7.8
76	8.0
77	8.9
78	8.3
79	8.5
80	8.7
81	8.8
82	8.6
83	8.3
84	8.7
85	8.2
86	8.8
87	8.6
88	8.7
89	8.7
90	8.7
91	8.6
92	8.9
93	9.0
