cluster_id	KSLabel
0	mua
1	mua
2	good
3	mua
4	good
5	mua
6	mua
7	mua
8	mua
9	mua
10	mua
11	good
12	mua
13	mua
14	mua
15	mua
16	mua
17	mua
18	good
19	mua
20	mua
21	mua
22	mua
23	mua
24	good
25	good
26	mua
27	mua
28	good
29	mua
30	mua
31	mua
32	mua
33	mua
34	mua
35	good
36	mua
37	mua
38	mua
39	mua
40	mua
41	mua
42	mua
43	mua
44	mua
45	mua
46	mua
47	mua
48	mua
49	mua
50	mua
51	mua
52	mua
53	mua
54	good
55	mua
56	good
57	good
58	good
59	good
60	good
61	good
62	good
63	good
64	mua
65	mua
66	good
67	good
68	good
69	good
70	mua
71	mua
72	mua
73	good
74	mua
75	mua
76	mua
77	good
78	good
79	good
80	good
81	mua
82	good
83	good
84	good
85	mua
86	mua
87	good
88	mua
89	good
90	good
91	mua
92	mua
93	mua
