cluster_id	ContamPct
0	0.0
1	0.0
2	13.8
3	100.6
4	469.6
5	0.0
6	98.2
7	106.4
8	174.4
9	0.0
10	444.4
11	0.0
12	38.9
13	11.0
14	0.0
15	18.6
16	0.0
17	173.0
18	0.0
19	0.0
20	88.2
21	65.2
22	48.2
23	0.0
24	130.5
25	0.0
26	0.0
27	84.2
28	0.0
29	26.7
30	98.8
31	34.1
32	62.8
33	79.3
34	53.3
35	0.0
36	0.0
37	15.6
38	70.6
39	45.6
40	67.0
41	145.5
42	0.0
43	187.5
44	0.0
45	0.0
46	144.2
47	148.5
48	0.0
49	119.6
50	0.0
51	62.1
52	39.7
53	98.4
54	120.4
55	2.0
56	0.0
57	116.7
58	90.6
59	103.9
60	0.0
61	127.4
62	92425106362169.3
63	54.1
64	88.3
65	132.6
66	0.0
67	73.4
68	105.8
69	37.2
70	0.0
71	55.1
72	150.5
73	8.2
74	0.0
75	0.0
