cluster_id	KSLabel
0	good
1	mua
2	good
3	good
4	good
5	mua
6	good
7	mua
8	good
9	mua
10	mua
11	mua
12	good
13	mua
14	good
15	mua
16	good
17	good
18	mua
19	good
20	good
21	good
22	good
23	good
24	mua
25	good
26	good
27	mua
28	mua
29	mua
30	good
31	good
32	mua
33	good
34	good
35	good
36	good
37	good
38	mua
39	good
40	mua
41	good
42	mua
43	good
44	good
45	mua
46	good
47	good
48	mua
49	good
50	good
51	mua
52	mua
53	good
54	good
55	mua
56	good
57	mua
58	mua
59	good
60	good
61	mua
62	good
63	mua
64	mua
65	mua
66	mua
67	mua
68	good
69	mua
70	good
71	good
72	mua
73	mua
74	good
75	good
76	good
77	good
78	good
79	mua
80	mua
81	mua
82	good
83	good
84	mua
85	good
86	mua
87	good
88	mua
89	good
90	good
91	mua
92	mua
93	mua
94	mua
95	good
96	mua
97	mua
98	good
99	good
100	good
101	good
102	good
103	good
104	mua
105	good
106	mua
107	mua
108	good
109	good
110	good
111	mua
112	good
113	good
114	good
115	good
116	good
117	mua
118	good
119	good
120	mua
121	mua
122	good
123	good
124	good
125	good
126	mua
127	good
128	good
129	mua
130	good
131	mua
132	good
133	mua
134	mua
135	good
136	good
137	mua
138	good
139	mua
140	mua
141	good
142	good
143	mua
144	mua
145	mua
146	mua
147	mua
148	mua
149	mua
150	mua
151	good
152	mua
153	mua
154	mua
155	mua
156	mua
157	mua
158	mua
159	mua
160	mua
161	mua
162	mua
163	mua
164	good
165	mua
166	mua
167	mua
168	mua
169	mua
170	mua
171	mua
172	mua
173	mua
174	good
175	good
176	good
177	good
178	good
179	good
180	mua
181	mua
182	mua
183	mua
184	good
185	mua
186	good
187	mua
188	mua
189	mua
190	good
191	mua
192	mua
193	mua
194	mua
195	good
196	good
197	mua
198	good
199	good
200	good
201	mua
202	mua
203	good
204	good
205	mua
206	mua
207	mua
208	good
209	good
210	mua
211	mua
212	good
213	good
214	good
215	good
216	mua
217	mua
218	good
219	good
220	mua
221	mua
222	mua
223	mua
224	mua
225	mua
226	mua
227	good
228	mua
229	good
230	good
231	mua
232	good
233	good
234	mua
235	mua
236	good
237	good
238	mua
239	mua
240	good
241	good
242	good
243	good
244	mua
245	good
246	mua
247	good
248	mua
249	good
250	good
251	good
252	good
253	mua
254	good
255	good
256	mua
257	mua
258	mua
259	good
260	good
261	good
262	good
263	good
264	mua
265	mua
266	mua
267	good
268	mua
269	mua
270	mua
271	mua
272	mua
273	mua
274	mua
275	mua
276	mua
277	mua
