cluster_id	Amplitude
0	8.9
1	9.7
2	9.5
3	10.0
4	10.3
5	9.2
6	9.7
7	9.2
8	10.6
9	5.5
10	8.9
11	7.9
12	10.3
13	8.9
14	14.2
15	10.0
16	9.3
17	8.5
18	14.5
19	16.9
20	12.6
21	9.5
22	10.5
23	10.9
24	11.6
25	20.6
26	14.0
27	12.5
28	10.1
29	11.0
30	13.1
31	10.5
32	22.9
33	9.6
34	17.0
35	31.8
36	11.8
37	15.3
38	9.5
39	19.3
40	25.6
41	10.2
42	11.7
43	10.7
44	11.9
45	24.0
46	23.3
47	65.2
48	11.3
49	11.3
50	22.7
51	10.6
52	10.5
53	12.6
54	17.4
55	10.4
56	12.3
57	30.1
58	10.0
59	19.5
60	11.7
61	10.0
62	13.2
63	29.4
64	11.6
65	29.0
66	10.8
67	13.1
68	10.2
69	38.4
70	12.6
71	12.0
72	9.9
73	10.6
74	12.6
75	22.2
76	10.9
77	10.1
78	15.3
79	11.0
80	10.8
81	10.5
82	12.2
83	19.3
84	14.1
85	11.8
86	29.0
87	12.2
88	11.3
89	29.2
90	12.5
91	16.6
92	11.2
93	12.7
94	11.8
95	11.8
96	10.9
97	10.7
98	10.8
99	10.0
100	10.0
101	9.7
102	9.6
103	9.6
104	9.4
105	9.2
106	8.9
107	8.9
108	8.9
109	10.6
110	9.1
111	9.4
112	9.1
113	13.5
114	7.7
