cluster_id	KSLabel
0	good
1	good
2	mua
3	good
4	good
5	good
6	good
7	mua
8	mua
9	mua
10	good
11	good
12	mua
13	good
14	mua
15	mua
16	mua
17	mua
18	good
19	mua
20	mua
21	mua
22	mua
23	mua
24	mua
25	mua
26	mua
27	good
28	mua
29	mua
30	mua
31	mua
32	mua
33	mua
34	good
35	good
36	mua
37	mua
38	mua
39	good
40	good
41	mua
42	mua
43	mua
44	mua
45	mua
46	mua
47	mua
48	mua
49	mua
50	mua
51	mua
52	mua
53	good
54	good
55	mua
56	mua
57	mua
58	good
59	mua
60	mua
61	mua
62	mua
63	good
64	mua
65	good
66	mua
67	mua
68	mua
69	good
70	mua
71	mua
72	mua
73	mua
74	mua
75	good
76	mua
77	mua
78	mua
79	mua
80	mua
81	mua
82	mua
83	mua
84	good
85	mua
86	good
87	mua
88	mua
89	good
90	mua
91	mua
92	mua
93	mua
94	mua
95	mua
96	mua
97	mua
98	mua
99	good
100	mua
101	good
102	mua
103	mua
104	mua
105	mua
106	mua
107	mua
108	good
109	mua
110	mua
111	mua
112	mua
113	mua
114	good
