cluster_id	ContamPct
0	0.0
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	59.3
10	3.6
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	45.1
18	0.0
19	84.7
20	88.6
21	0.0
22	61.3
23	76.7
24	72.7
25	37.6
26	152.9
27	0.0
28	218.6
29	232.8
30	187.5
31	173.9
32	465.0
33	292.0
34	0.0
35	0.0
36	148.1
37	87.3
38	276.7
39	0.0
40	6.1
41	0.0
42	325.6
43	98.0
44	88.4
45	184.5
46	0.0
47	0.0
48	150.1
49	206.2
50	50.0
51	166.7
52	81.6
53	0.0
54	0.0
55	207.3
56	627.7
57	51.5
58	0.0
59	0.0
60	93.8
61	185.3
62	202.9
63	0.0
64	159.7
65	0.0
66	146.9
67	41.8
68	131.9
69	0.0
70	87.8
71	103.2
72	158.8
73	151.1
74	105.3
75	0.0
76	112.4
77	306.7
78	235.9
79	97.3
80	430.0
81	344.6
82	236.6
83	28.0
84	0.0
85	343.2
86	0.0
87	507.4
88	467.5
89	9.8
90	410.4
91	189.8
92	621.7
93	522.6
94	668.8
95	514.3
96	421.7
97	581.5
98	512.5
99	0.0
100	165.8
101	0.0
102	54.2
103	33.9
104	0.0
105	470.6
106	0.0
107	0.0
108	0.0
109	0.0
110	126.3
111	0.0
112	23.8
113	0.0
114	9.4
