cluster_id	KSLabel
0	good
1	mua
2	mua
3	good
4	mua
5	good
6	good
7	mua
8	mua
9	good
10	mua
11	good
12	good
13	mua
14	mua
15	good
16	good
17	good
18	mua
19	good
20	good
21	good
22	mua
23	good
24	good
25	good
26	mua
27	mua
28	good
29	mua
30	good
31	good
32	good
33	mua
34	good
35	good
36	good
37	mua
38	mua
39	good
40	mua
41	good
42	good
43	mua
44	good
45	mua
46	good
47	mua
48	mua
49	good
50	good
51	good
52	good
53	mua
54	mua
55	mua
56	mua
57	good
58	mua
59	mua
60	good
61	good
62	mua
63	good
64	mua
65	good
66	good
67	good
68	mua
69	good
70	good
71	good
72	mua
73	mua
74	mua
75	good
76	mua
77	good
78	good
79	good
80	mua
81	mua
82	good
83	mua
84	good
85	good
86	good
87	good
88	good
89	mua
90	good
91	good
92	mua
93	mua
94	good
95	mua
96	mua
97	good
98	good
99	mua
100	good
101	good
102	good
103	good
104	good
105	good
106	good
107	mua
108	good
109	mua
110	good
111	good
112	good
113	mua
114	good
115	good
116	mua
117	good
118	mua
119	good
120	good
121	good
122	good
123	good
124	good
125	good
126	mua
127	mua
128	good
129	good
130	good
131	good
132	mua
133	good
134	good
135	good
136	good
137	good
138	good
139	good
140	mua
141	mua
142	good
143	good
144	mua
145	good
146	good
147	good
148	mua
149	good
150	mua
151	mua
152	good
153	good
154	mua
155	mua
156	mua
157	good
158	mua
159	mua
160	good
161	good
162	good
163	good
164	mua
165	mua
166	mua
167	mua
168	good
169	good
170	good
171	good
172	mua
173	good
174	mua
175	mua
176	mua
177	mua
178	mua
179	mua
180	mua
181	good
182	mua
183	mua
184	good
185	mua
186	mua
187	good
188	good
189	mua
190	good
191	mua
192	mua
193	mua
194	mua
195	good
196	mua
197	good
198	good
199	mua
200	good
201	good
202	good
203	mua
204	good
205	mua
206	good
207	mua
208	good
209	mua
210	mua
211	mua
212	good
213	mua
214	mua
215	good
216	good
217	good
218	mua
219	mua
220	good
221	good
222	good
223	mua
224	good
225	mua
226	good
227	mua
228	mua
229	good
230	good
231	good
232	good
233	good
234	good
235	mua
236	good
237	mua
238	good
239	mua
240	good
241	mua
242	good
243	mua
244	good
245	mua
246	mua
247	good
248	good
249	good
250	mua
251	mua
252	good
253	good
254	good
255	mua
256	mua
257	mua
258	mua
259	good
260	good
261	mua
262	mua
263	mua
264	good
265	good
266	good
267	good
268	good
269	good
270	mua
271	good
272	mua
273	mua
274	good
275	good
276	mua
277	good
278	mua
279	good
280	mua
281	mua
282	mua
283	good
284	mua
285	good
286	good
287	mua
288	good
289	mua
290	mua
291	mua
292	mua
293	mua
294	good
295	mua
296	good
297	good
298	good
299	mua
300	good
301	good
302	good
303	mua
304	good
305	mua
306	good
307	good
308	good
309	good
310	mua
311	mua
312	good
313	mua
314	good
315	good
316	good
317	mua
318	mua
319	good
320	mua
321	good
322	mua
323	good
324	good
325	good
326	good
327	good
328	good
329	mua
330	good
331	good
332	mua
333	good
334	mua
335	mua
336	mua
337	good
338	good
339	mua
340	mua
341	mua
342	mua
343	mua
344	good
345	good
346	mua
347	good
348	good
349	mua
350	mua
351	good
352	mua
353	mua
354	mua
355	good
356	mua
357	mua
358	mua
359	good
360	mua
361	mua
362	good
363	good
364	good
365	mua
366	mua
367	good
368	good
369	good
370	good
371	mua
372	mua
373	mua
374	good
375	good
376	mua
377	mua
378	mua
379	mua
380	good
381	mua
382	mua
383	mua
384	good
385	mua
386	mua
387	mua
